SECTION,PAGE,CONTEXT_BEFORE,WORD,CONTEXT_AFTER
Dedicatoria,pg_0001.html," las especias en la isla de Maluco, de la que era ",capitán," general Ferando de Magaglianes (sic), gentilhombr"
Libro I,pg_0002.html,Habiendo determinado el ,capitán, general emprender una tan larga navegación por el
Libro I,pg_0003.html,"A los pocos días, apareció el ",capitán," general, con los otros capitanes, navegando río a"
Libro I,pg_0009.html,pasito a pasito. Viéndolo todo perfectamente el ,capitán, general y yo. Trece días permanecimos
Libro I,pg_0010.html,"en anterior ocasión, y por fiar demasiado, un ",capitán," español, por nombre Iohan de Solís, fue devorado "
Libro I,pg_0012.html, cantaba y vertía polvo sobre su cabeza. Mandó el ,capitán, general a uno de los nuestros hacia él para que
Libro I,pg_0012b.html," y, por fin, elevaba al cuello la mano. Cuando el ",capitán," general lo supo, mandó un esquife para que se apo"
Libro I,pg_0013.html,Cada uno iba pintado de diferente manera. El ,capitán, general retuvo a dos --los más jóvenes y despejad
Libro I,pg_0013b.html,y lanzar fuego por la boca y por el culo. El ,capitán, general llamó a los de este pueblo &quot;Patagones&quot;
Libro I,pg_0014.html, navíos conjuráronse en traición para asesinar al ,capitán," general; y eran ellos: el veedor de las armas, qu"
Libro I,pg_0015.html,"o escasos--. Y antes que navegáramos de nuevo, el ",capitán, general y todos nosotros confesamos y comulgamos 
Libro I,pg_0016.html,"mos dos bocas: una al siroco, otra al garbino. El ",capitán," general adelantó a la nao San Antonio, en compañí"
Libro I,pg_0017.html, y el ancho mar también. El ,capitán," general lloró de alegría, designando a aquél &quo"
Libro I,pg_0018.html,"encontrado ese estrecho, tenía proyectado el ",capitán, general descender hasta los 75 grados del Polo
Libro II,pg_0020.html,"formas, adelante aquellas aguas, preguntó el ",capitán," general a todos sus pilotos sobre, avanzando siem"
Libro II,pg_0021.html,a más alta y espaciosa. Quería atracar en ella el ,capitán," general, por busca de algún alimento fresco; pero"
Libro II,pg_0023.html,de los Ladrones y por nombre Zamal. Quiso el ,capitán," general, al siguiente día, desembarcar en otra, d"
Libro II,pg_0025.html," eran asaz agradables y conversadores. El ",capitán," general, para rendirles más honor, los condujo a "
Libro II,pg_0027.html,acercábase a la carabela capitana. Un esclavo del ,capitán," general, que era de Sumatra (llamada anteriorment"
Libro II,pg_0028.html,"tro día, que era Viernes Santo, mandó a tierra el ",capitán," general, en un esquife, al esclavo que era nuestr"
Libro II,pg_0029.html,pañaba con tres hombres. Era rey de otra isla. El ,capitán," general lo retuvo a almorzar a bordo, colmándole "
Libro II,pg_0030.html,"marzo y Pascua, envió muy de mañana a tierra el ",capitán," general al sacerdote, con alguna escolta, para qu"
Libro II,pg_0031.html," alta que hallarse pudo. Al pisarla, no olvidó el ",capitán, general decirles lo por bien empleados que daba s
Libro II,pg_0032.html, se maravillaba de nuestra velocidad. Invitole el ,capitán, general a que subiese en su nao con algunos de su
Libro II,pg_0033.html,"los árboles. Al acercarnos a la ciudad, ordenó el ",capitán," general que se empavesaran las carabelas, medio a"
Libro II,pg_0034.html,que se sentasen cerca. Preguntoles si más de un ,capitán, iba en aquella compañía y si intentaban que él pa
Libro II,pg_0035.html,Disertó con amplitud el ,capitán, sobre la paz y sobre que él rogaba a Dios que la 
Libro II,pg_0036.html," mientras, los suyos repetíanle el parlamento del ",capitán, y su exhorto para que se hiciesen cristianos.
Libro II,pg_0037.html, de hierro: un peso y cerca de ducado y medio. El ,capitán," general no quiso que se aceptase demasiado oro, p"
Libro II,pg_0038.html,"El sábado, por haber prometido el rey al ",capitán," convertirse en cristiano el domingo, elevose en l"
Libro II,pg_0039.html,"na y muchos otros bajaron a la playa, luego. Y el ",capitán," entonces, hizo que se diparasen muchos morteretes"
Libro II,pg_0040.html,A diario se trasladaba a tierra el ,capitán," general, con objeto de oír misa y decía al rey mu"
Libro II,pg_0041.html,Preguntó un día el ,capitán, general al rey y a sus edecanes por qué razón no 
Libro II,pg_0044.html,a uno de sus hijos para que se presentase ante el ,capitán, general con dos cabras; y diciéndole que él hubie
Libro II,pg_0045.html, flecha envenenada traspasó la pierna derecha del ,capitán,. Por lo que éste ordeno que nos retiráramos poco 
Libro II,pg_0046.html,Matan si no querrían entregar el cuerpo del ,capitán," con los de los otros caídos: que, a cambio, se le"
Libro II,pg_0047.html," y se llama Zubu. En ella, antes de la muerte del ",capitán,", conseguimos precisiones sobre Maluco. Sus habita"
Libro III,pg_0055.html,dos el hijo del rey de la isla de Lozón. Era éste ,capitán," general del rey de aquí, de Burne, y acudía con s"
Libro III,pg_0064.html,"erto en Terenate un Francisco Serrano, portugués, ",capitán, general del rey de Terenate contra el rey de Tado
Libro III,pg_0067.html,"r Maluco en nombre del rey de España, y siendo su ",capitán," Fernando de Magallanes, portugués. Y cómo el rey "
Libro III,pg_0068.html, no pudo avanzar y reculó. El ,capitán," del galeón dicho, era Francisco Faria, portugués;"
Libro III,pg_0072.html,"nave, mas no se lo permitimos. Era gran amigo del ",capitán," de Malaca, portugués, y venía con intención de ap"
Libro IV,pg_0086.html," Esperanza), y que, mientras reparábamos, nuestro ",capitán," general, con las otras dos naves, había regresado"
