QUOTE_TRANSCRIPTION,URI,LAT,LNG
islas de los Ladrones,http://sws.geonames.org/4041468,15.8588611272209,145.614851421768
Bandan,http://sws.geonames.org/1650394,-5.6578,132.9709
Maluco,http://sws.geonames.org/1636627,-4.6944127712247,129.757143585263
Moluco,http://sws.geonames.org/1636627,-4.6944127712247,129.757143585263
países de Maluco,http://sws.geonames.org/1636627,-4.6944127712247,129.757143585263
Ambon,http://sws.geonames.org/1651531,-3.69583,128.18333
Bachian,http://sws.geonames.org/1650852,-0.58333,127.5
Giailolo,http://sws.geonames.org/1642920,1.06504,127.46786
Jaialolo,http://sws.geonames.org/1642920,1.06504,127.46786
isla de Giailolo,http://sws.geonames.org/1642920,1.06504,127.46786
Caioan,http://sws.geonames.org/1640850,0.04429,127.44166
Mutir,http://sws.geonames.org/1634971,0.45654,127.40843
Machian,http://sws.geonames.org/1636770,0.32278,127.39727
Mare,http://sws.geonames.org/1636141,0.57402,127.39625
Tarenate,http://sws.geonames.org/1624041,0.79065,127.38424
Terenate,http://sws.geonames.org/1624041,0.79065,127.38424
Batutiga,http://sws.geonames.org/1649568,-0.64958,127.34324
Laigoma,http://sws.geonames.org/1638761,0.13889,127.2155
Ambelau,http://sws.geonames.org/1651542,-3.85863,127.19595
Caphi,http://sws.geonames.org/1644657,0.1573,127.15057
Sico,http://sws.geonames.org/1627158,0.13777,127.12299
Latalata,http://sws.geonames.org/1638336,-0.25621,127.06287
Buru,http://sws.geonames.org/1647546,-3.4,126.65
Burú,http://sws.geonames.org/1647546,-3.4,126.65
Zuluán,http://sws.geonames.org/1685369,10.9295,125.831
Acquada,http://sws.geonames.org/1711541,10.73861,125.71806
Humunu,http://sws.geonames.org/1711541,10.73861,125.71806
Butuan,http://sws.geonames.org/1722186,8.94917,125.54361
Tadore,http://sws.geonames.org/1625654,3.6074,125.50721
Sarangani,http://sws.geonames.org/1687186,5.40333,125.46361
Saranghani,http://sws.geonames.org/1687186,5.40333,125.46361
Suai,http://sws.geonames.org/1626459,-9.31286,125.25648
Polo,http://sws.geonames.org/1693106,6.26472,125.1125
Mazana,http://sws.geonames.org/1706367,9.931,125.0744
Zamal,http://sws.geonames.org/1690650,11.93353,125.03403
Caghaian,http://sws.geonames.org/1721080,8.48222,124.64722
Ceylon,http://sws.geonames.org/1706801,11.36687,124.48239
Bohol,http://sws.geonames.org/1724399,9.83333,124.16667
Matan,http://sws.geonames.org/1704245,10.29194,123.96806
Canit,http://sws.geonames.org/1717592,11.186,123.9459
Zubu,http://sws.geonames.org/1717512,10.31672,123.89071
Castilla,http://sws.geonames.org/1718084,12.94861,123.88222
Panilonghon,http://sws.geonames.org/1695262,9.57806,123.74583
San Lázaro,http://sws.geonames.org/1694008,11.7494020944146,122.868325771689
Chipit,http://sws.geonames.org/1708641,8.04611,122.53222
puerto de Chipit,http://sws.geonames.org/1708641,8.04611,122.53222
Ciboco,http://sws.geonames.org/1686760,7.29111,122.06556
Taguina,http://sws.geonames.org/1726402,6.57662,122.01622
isla de Caghaian,http://sws.geonames.org/1721086,18,121.83333
Calaghan,http://sws.geonames.org/7521297,17.65667,121.73333
Para,http://sws.geonames.org/8377422,-10.5972,121.7303
Biga,http://sws.geonames.org/1725409,13.3106,121.161
Zolo,http://sws.geonames.org/1710141,6.05222,121.00222
