Spa_gloss,Brasil,Patagonia,Filipinas,Molucas
rey,cacich,,raja,raja
bueno,tum,,,
casa,boi,,,
cama,hamac,,,
peine,chipag,,,
cuchillo,tarse,,,
cascabeles,hanmaraca,,,
tijeras,pirame,,,
anzuelo,pinda,,,
barco,canoe,,,
mijo,maïz,,,
harina,hui,,,
demonio grande,,setebos,,
demonio pequeño,,chelule,,
núbil,,benibeni,,
casado,,babai,sudababini,
joven,,calemi,,
guía,,anti,,
tuerto,,calischen,,
cabeza,,her,capala,capalla
ojo,,oter,marta,matta
cejas,,ochecel,chilei,chilai
párpado,,sechecel,,
nariz,,or,ilon,idon
fosas nasales,,oresche,,
boca,,chian,baba,mulut
labios,,sichiaine,olol,bebere
dientes,,for,nipin,gigi
lengua,,scial,dilla,lada
barbilla,,secheri,silan,agai
barba,,archiz,bongot,jangut
orejas,,sane,,
garganta,,ohumez,lioch,laer
cuello,,scialeschiz,tangip,tundun
espaldas,,pelles,baga,diard
pecho,,ochii,dugan,dada
corazón,,tol,,atti
senos,,otón,,sussu
cuerpo,,gechel,tiam,iundum
partes del hombre,,sachet,utim,boto
partes de la mujer,,isse,billat,buthi
culo,,schiaguen,,
nalgas,,hoii,,
testículos,,sachancos,,
muslos,,chiave,,
rodilla,,tepin,,
pierna,,coss,,
tobillo,,ti,,
talón,,tire,,
planta del pie,,caotschoni,,
uña,,colmi,,
brazo,,riaz,,
sobaco,,salischin,,
mano,,chene,,
palma de la mano,,canneghin,,
dedo,,cori,,
pulso,,holion,,
perro,,holl,,
lobo,,ani,,
oca,,cache,,
grajo,,cleo,,
pez,,hoi,,
ostra,,siameni,,
raíz que sirve de pan,,capac,,
paño,,terechai,,
cinturón,,cathechin,,
gorro,,aichel,,
rojo,,faiche,,
negro,,oinel,,
amarillo,,peperi,,
sol,,calexchem,,
estrellas,,settere,,
fuego,,gialme,,
agua,,holi,,
nieve,,theu,,
humo,,giache,,
mar,,aro,,
viento,,oni,,
huracán,,ohome,,
oro,,pelpeli,,
joya,,sechey,,
marmita,,aschame,,
escudilla,,etlo,,
flecha,,seche,,
ir,,rei,,
coito,,hor,,
combatir,,ohomagse,,
cubrir,,tiam,,
cocer,,irocoles,,
pedir,,gheglie,,
rascar,,gechare,,
comer,,mechiere,,
olfatear,,os,,
mirar,,conne,,
venir,,hai,,
dios,,,abba,alla
mezquita,,,,meschit
sacerdote,,,,maulauana
devoto,,,, mussai
ceremonias,,,,zambahean
cristiano,,,,naceran
idólatra,,,,cafre
moro,,,,islam
turco,,,,rummo
hombre,,,baran,oran
mujer,,,paranpuan,poronpuan
niño,,,canacana,
nubil,,,ugan,
viejo,,,tua,patua
padre,,,bapa,papa
madre,,,,"marna, ambui"
hijo,,,,anach
hermano,,, ,sandala
abuelo,,,,nini
suegro,,,,mintua
yerno,,,,minantu
primo,,,,sopopa
discípulo,,,,lascar
amigo,,,,sandara
enemigo,,,,sanbat
reina,,,,putli
señor,,,,tuan
esclavo,,,,alipin
escribano,,,,chiritoles
intérprete,,,,giorobaza
alcahuete ,,,,zoroanpagnoro
hombre adornado,,,pixao,
grande,,,bassal,bassal
pequeña,,,,chechil
cabellos,,,boho,lambut
frente,,,guai,dai
párpados,,,pilac,cenin
encías,,,leghex,issi
lenguaje,,,,baasa
palacio,,,langhi,
bigotes,,,,missai
mandíbula,,,apin,pipi
oreja,,,delengan,talinga
lomo,,,malacan,balacan
ombligo,,,pusut,
estómago,,,,parut
